                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2345,                 1.6204,                  1.303,                0.84582,                0.86147,                0.92855,                0.61559,                 1.0859,                 1.2611,                 1.2537,             0.00036559,             0.00036559,             0.00036559
                      2,                 1.1713,                0.91406,                 1.2471,                0.82257,                0.71102,                0.83846,                0.53232,                 1.2108,                 1.2081,                 1.3721,             0.00070678,             0.00070678,             0.00070678
                      3,                 1.1975,                0.93348,                 1.2835,                 0.9175,                0.89022,                0.93562,                0.61045,                 1.1374,                0.78841,                 1.3131,              0.0010186,              0.0010186,              0.0010186
                      4,                 1.1804,                0.88523,                 1.2628,                0.91607,                0.88962,                 0.9358,                0.62647,                 1.1332,                0.71932,                 1.3307,             0.00097901,             0.00097901,             0.00097901
                      5,                 1.1727,                 0.8445,                 1.2637,                0.89975,                0.88109,                  0.956,                0.66541,                 1.0375,                0.74045,                 1.2738,             0.00097901,             0.00097901,             0.00097901
                      6,                 1.1468,                0.83064,                 1.2544,                0.96432,                0.91584,                0.96667,                0.66548,                 1.0288,                0.63049,                 1.2567,             0.00093502,             0.00093502,             0.00093502
                      7,                 1.1212,                 0.7712,                 1.2298,                0.95613,                 0.9277,                 0.9711,                0.67693,                 1.0086,                0.60492,                 1.2096,             0.00089102,             0.00089102,             0.00089102
                      8,                 1.0999,                0.72966,                 1.2114,                0.95178,                0.93075,                0.96948,                0.67854,                 1.0195,                0.57042,                 1.2277,             0.00084703,             0.00084703,             0.00084703
                      9,                  1.068,                0.69324,                 1.1936,                0.97661,                0.94025,                 0.9765,                0.68692,                0.99754,                 0.5316,                 1.2193,             0.00080303,             0.00080303,             0.00080303
                     10,                 1.0747,                0.69195,                 1.2095,                0.96626,                0.94462,                0.97584,                0.70199,                0.98842,                0.51227,                 1.2171,             0.00075904,             0.00075904,             0.00075904
                     11,                 1.0427,                0.64482,                 1.1819,                0.97491,                0.94583,                0.97834,                0.69799,                0.98522,                0.50399,                 1.2123,             0.00071504,             0.00071504,             0.00071504
                     12,                 1.0387,                0.62096,                 1.1808,                 0.9764,                0.95453,                0.98164,                0.71004,                 0.9647,                0.48167,                 1.1764,             0.00067104,             0.00067104,             0.00067104
                     13,                 1.0007,                0.58808,                 1.1527,                0.98272,                0.95982,                0.98524,                0.71367,                 0.9469,                0.45293,                 1.1696,             0.00062705,             0.00062705,             0.00062705
                     14,                0.99058,                0.58607,                 1.1472,                0.97814,                0.96089,                0.98555,                0.71538,                0.94409,                0.45844,                 1.1753,             0.00058305,             0.00058305,             0.00058305
                     15,                0.97472,                0.57043,                 1.1426,                0.98502,                0.96198,                 0.9864,                0.72565,                0.92678,                0.43974,                 1.1356,             0.00053906,             0.00053906,             0.00053906
                     16,                0.96612,                 0.5414,                 1.1557,                0.98571,                0.96545,                0.98403,                0.72242,                0.92011,                0.44468,                 1.1737,             0.00049506,             0.00049506,             0.00049506
                     17,                0.94418,                0.51548,                 1.1401,                0.96991,                0.96929,                0.98475,                0.73208,                0.91781,                0.44381,                 1.1598,             0.00045107,             0.00045107,             0.00045107
                     18,                0.93306,                0.49789,                 1.1316,                0.97295,                0.97752,                0.98589,                0.73721,                0.91023,                0.42084,                 1.1559,             0.00040707,             0.00040707,             0.00040707
                     19,                 0.9137,                0.47178,                 1.1091,                0.98169,                 0.9687,                0.98559,                0.73475,                0.90332,                0.41136,                 1.1494,             0.00036307,             0.00036307,             0.00036307
                     20,                0.89688,                0.46458,                  1.117,                0.98206,                0.97056,                0.98725,                 0.7367,                0.90814,                0.40102,                 1.1558,             0.00031908,             0.00031908,             0.00031908
                     21,                0.87119,                0.43729,                 1.0905,                0.98273,                0.97442,                0.98646,                0.75063,                0.87889,                0.39469,                 1.1299,             0.00027508,             0.00027508,             0.00027508
                     22,                0.85468,                0.42341,                 1.0848,                0.98637,                0.97711,                0.98844,                0.75481,                0.87558,                0.38437,                 1.1295,             0.00023109,             0.00023109,             0.00023109
                     23,                0.83999,                0.41502,                 1.0707,                0.97345,                0.98119,                0.98877,                0.75427,                0.87123,                0.37272,                 1.1312,             0.00018709,             0.00018709,             0.00018709
                     24,                0.83018,                0.40446,                 1.0656,                0.98278,                0.97977,                0.98862,                0.75833,                0.86572,                0.36732,                 1.1288,              0.0001431,              0.0001431,              0.0001431
                     25,                0.81118,                0.38794,                 1.0572,                0.98213,                0.97876,                0.98827,                0.76191,                0.84699,                0.35924,                 1.1123,             9.9101e-05,             9.9101e-05,             9.9101e-05
